record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
reca3z4OH1,optq82in2C,中国,济南,山东,单,爱时乐夹心棒,休闲零食,饼干曲奇,#小程序://大润发优鲜/RwIfkTM4mqYRTYE,DRF-,DRF,,,image.png,18.9,image.png,150g,大润发,1752156078000,13.9,巧克力味、香草牛奶味,,,,,,,
recZu6WSa2,opt16gKFOJ,中国,泰州,江苏,单,百草味精制猪肉脯,休闲零食,肉干小食,,DRF-,DRF,,,image.png,13.9,image.png,80g,大润发,1752156078000,12.23,原味,杭州赫姆斯食品有限公司,靖江市味乐食品有限公司,image.png,,,,
recKYUZutS,optNHesbUa,马来西亚,,,单,马奇新新力士岩盐夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/unND1qgxekS4nHr,DRF-,DRF,,,,9.9,image.png,95g,大润发,1752156078000,6.9,巧克力味、香草味,满奇制造商贸（上海）有限公司,,image.png,,,,
rece15XebK,optgWZHqIC,中国,北京,,单,奥利奥0糖夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/N7r7RPUQ0P5SGes,DRF-,DRF,,,,21.8,image.png,320g,大润发,1752156078000,18.8,原味,亿滋食品企业管理（上海）有限公司,亿滋食品（北京）有限公司,image.png,,,,
rec8DhdvUG,optfeEsH7D,中国,成都,四川,单,百草味川香猪肉片,休闲零食,肉干小食,,DRF-,DRF,,,,16.9,image.png,85g,大润发,1752156078000,14.4,川香麻辣味,杭州赫姆斯食品有限公司,四川老川东食品有限公司,image.png,,,,
recIrw0nsH,optyz47zib,中国,郑州,河南,单,白象方便面多半袋香辣牛肉面140g*5袋,方便速食,方便面,白象方便面多半袋香辣牛肉面140g*5袋方便速食泡面-tmall.com天猫,MC-,MC,,,image.png,18.9,image.png,140g*5袋,猫超,1752156078000,12.16,香辣牛肉,,白象食品股份有限公司（代号：郑州）,image.png,,,,
rec1kEUYEi,optBVshu7N,马来西亚,,,单,茱蒂丝雷蒙德柠檬夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/dqRAtzBRbosEg7u,DRF-,DRF,,,,21.9,image.png,70g,大润发,1752156078000,15.33,柠檬味,星阔（上海）实业有限公司,茱莉制造有限公司,image.png,,,,
recGY8UhnP,optrsFqxL9,中国,漳州,福建,单,巷仔边香脆猪肉脯,休闲零食,肉干小食,,DRF-,DRF,,,image.png,7.9,image.png,30g,大润发,1752156078000,6.9,原味/香辣味,,,,,,,
rec7auo3fM,optiXun4OH,中国,滁州,安徽,单,100%NFC橙汁,酒水饮料,果汁/植物饮,,SM-,SM,,,橙汁1-标.jpg,99.9,橙汁1-正.jpg,200ml,山姆APP,1752156078000,,,上海佳果源食品科技有限公司,滁州华冠饮料饮料有限公司,,橙汁1-外.jpg,200ml*25,,
reczQVsEfv,opt3SpPs3W,中国,泰州,江苏,单,立丰猪肉脯,休闲零食,肉干小食,,DRF-,DRF,,,image.png,35.6,image.png,148g,大润发,1752156078000,,原味,上海立丰食品有限公司,靖江市豪莱顿食品有限公司,image.png,,,,
recWqS1LOm,optU4RCTzg,中国,,,单,奥利奥红颜丹香夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/GTLafOOrjKz4pso,DRF-,DRF,,,image.png,11.5,image.png,194g,大润发,1752156078000,9.83,奶油牡丹味,,,,,,,
recU9qtSVU,optA8OW9xQ,马来西亚,,,单,茱蒂丝乳酪三明治饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/fKRULpUjkKFNy0H,DRF-,DRF,,,,13.9,image.png,126g,大润发,1752156078000,9.73,乳酪味,星阔（上海）实业有限公司,茱莉制造有限公司,image.png,,,,
reckW11qyV,optHHCEuzQ,中国,淮北,安徽,单,嘉士利果乐果香夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/8WxOXI8ISFPCl8g,DRF-,DRF,,,,13.8,image.png,300g,大润发,1752156078000,11.9,蓝莓味、草莓味、青柠味,广东嘉士利食品集团有限公司,思朗食品有限公司,image.png,,,,
recmAUCp9r,optYvJJXlD,日本,,,单,冬己夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/WQ4hovCBvqP2uep,DRF-,DRF,,,,8.6,image.png,106g,大润发,1752156078000,8.6,咸蛋黄味、黑糖味,,,image.png,,,,
recFXwYVQO,optsW6827v,中国,嘉兴,浙江,单,百草味果木香香烤肉,休闲零食,肉干小食,,DRF-,DRF,,,,19.5,image.png,85g,大润发,1752156078000,17,原味,杭州赫姆斯食品有限公司,浙江青莲食品股份有限公司,image.png,,,,
recQ64Hxnn,optDsqK32G,比利时,,,单,比时卡焦糖夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/P8yB8J4rZn1QEFl,DRF-,DRF,,,image.png,17.9,image.png,110g,大润发,1752156078000,17.9,牛奶巧克力味、香草味,莲乐饼干贸易（上海）有限公司,,,,,,
recbvHPEIw,opt8sbL9be,瑞典,,,单,咖啡大师燕麦饮料（谷物饮料）,酒水饮料,果汁/植物饮,,SM-,SM,,,燕麦奶1-标.jpg,59.9,燕麦奶1-正.jpg,1L,山姆APP,1752156078000,,,,,燕麦奶1-后.jpg,燕麦奶1-外.jpg,1L*6,,
recyyDn25j,optHsV2rED,中国,潮州,广东,单,自然派猪肉脯,休闲零食,肉干小食,,DRF-,DRF,,,image.png,13.8,image.png,75g,大润发,1752156078000,,炭烤味/蜜汁味,,,,image.png,75g*4袋,,
rec2BDm2Ld,optu9WHT3j,中国,,,单,奥利奥状元芝香夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/4aRmlG1q4n21qFk,DRF-,DRF,,,image.png,11.5,image.png,194g,大润发,1752156078000,9.9,芝麻奶酥味,,,,,,,
rec58iffAB,optYkg5irl,中国,温州,浙江,单,乡下香猪蹄,休闲零食,肉干小食,,DRF-,DRF,,,image.png,19.9,image.png,130g,大润发,1752156078000,,五香味,,,image.png,,,,
rec1fBFu2C,opt1JtNFTw,中国,郑州,河南,单,经典火鸡拌面,方便速食,方便面,白象大辣娇经典火鸡面夜宵方便面方便速食泡面-tmall.com天猫,MC-,MC,,,image.png,18.9,image.png,119g*5袋,猫超,1752156078000,12.34,经典火鸡面,,白象食品股份有限公司（代号：郑州）,image.png,,,,
recoc4i14B,optb6cbEeA,中国,苏州,江苏,单,奥利奥巧轻脆0糖薄片饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/mQArtf96YaVBZjC,DRF-,DRF,,,image.png,8.8,image.png,95g,大润发,1752156078000,7.55,花漾玫瑰味,亿滋食品企业管理（上海）有限公司,亿滋食品（苏州）有限公司,image.png,,,,
recWSv9q5T,opth6Iilh5,中国,温州,浙江,单,萨啦咪烤肉片,休闲零食,肉干小食,,DRF-,DRF,,,,19.9,image.png,95g,大润发,1752156078000,,原味,,温州萨啦咪食品有限公司,image.png,,,,
reclWjVLdC,optvo4Brq8,泰国,,,单,乐天小熊饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/Hz6tWX9s4M8C2dF,DRF-,DRF,,,image.png,29.9,image.png,195g,大润发,1752156078000,23.92,巧克力味、草莓味,,,,,,,
recZN6xHVS,optO1DdnQb,中国,上海,上海,单,小辣椒果汁猪肉,休闲零食,肉干小食,,DRF-,DRF,,,image.png,34.9,image.png,110g,大润发,1752156078000,,,,上海海湾食品有限公司,image.png,,,,
recSD1mC6N,optTv6q7bp,中国,天津,,单,康师傅甜酥夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/3U5Y6oPEvvv0JDn,DRF-,DRF,,,,5,image.png,80g,大润发,1752156078000,5,榛子巧克力味,天津顶园食品有限公司,天津顶园食品有限公司,image.png,,,,
recHzRpcoP,optqOHCdkd,中国,泰州,江苏,单,飘零大叔猪肉脯,休闲零食,肉干小食,,DRF-,DRF,,,image.png,18.8,image.png,80g,大润发,1752156078000,16.5,原味/香辣味,靖江市悠味食品有限公司,靖江众阳食品有限公司,image.png,,,,
recepyKz0Z,optNOE7vrM,中国,嘉兴,浙江,单,荷美尔小烤肉,休闲零食,肉干小食,,DRF-,DRF,,,image.png,24.9,image.png,90g,大润发,1752156078000,,川味/椰香,荷美尔(中国)投资有限公司,赢兴荷美尔食品有限公司,image.png,,,,
recBDRwwCm,optxSCpVgZ,中国,漳州,福建,单,信达地道肉肠,休闲零食,肉干小食,,DRF-,DRF,,,image.png,25.9,image.png,190g,大润发,1752156078000,,原味,,龙海市新信达食品有限公司,image.png,,,,
recpHnLE0C,opti9rAvMO,中国,上海,,单,阿华田酷脆心情夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/9qLMHZIvxcoKavJ,DRF-,DRF,,,image.png,8.5,image.png,90g,大润发,1752156078000,6.9,巧克力味、麦香牛乳味,上海英联食品饮料有限公司,上海麦宝食品有限公司,image.png,,,,
recS5cJBqN,opt68vnl4b,日本,,,单,松永豆沙夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/pOulOH2sdy26b8I,DRF-,DRF,,,image.png,26,image.png,220g,大润发,1752156078000,26,红豆味,,,image.png,,,,
rec5VqTHCj,opt8Z2mLKE,中国,上海,上海,单,坚果乳植物蛋白饮料,酒水饮料,果汁/植物饮,,SM-,SM,,,坚果乳1-标.jpg,89.9,坚果乳1-正.jpg,250ml,山姆APP,1752156078000,,,统一企业（中国）投资有限公司,上海文辉食品工业有限公司,,坚果乳1-外.jpg,250ml*18,,
recWSJj59e,opt8RbB8gL,比利时,,,单,和情缤咖时焦糖夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/hvage4QKclX4tNa,DRF-,DRF,,,,19.9,image.png,150g,大润发,1752156078000,19.9,原味,莲乐饼干贸易（上海）有限公司,,image.png,,,,
reczkoqrAQ,optbHSD6y0,日本,,,单,星七牌夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/kLqJHNMHnA0vqvq,DRF-,DRF,,,image.png,14.3,image.png,95g,大润发,1752156078000,14.3,可可奶油味,星七（上海）国际贸易有限公司,,,,,,
recwsg2G8T,optgpnmRk7,中国,揭阳,广东,单,赛味馆夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/hZ1UmnnbgwFdpUf,DRF-,DRF,,,,15.9,image.png,136g,大润发,1752156078000,15.9,柠檬味,北京明大天润商贸有限公司,广东益昇食品有限公司,image.png,,,,
recJz8A4iQ,opt6d6XMfZ,中国,揭阳,广东,单,赛味馆黑糖麦芽饼,休闲零食,饼干曲奇,,DRF-,DRF,,,微信图片_2025-07-10_164346_566.jpg,19.3,image.png,206g,大润发,1752156078000,19.3,原味,北京明大天润商贸有限公司,广东益昇食品有限公司,image.png,,,,
